Country,Capital city,Exchange rate (per US$),National currency,"Pop. density (per km2, 2024)","Population (000, 2024)",Region,Sex ratio (m per 100 f),Surface area (km2),UN membership date,Capital_city_pop
New Caledonia,Nouméa,108.0,CFP Franc (XPF)d,16.0,293.0,Melanesia,97.3,19100.0,,197.8
New Zealand,Wellington,1.6,New Zealand Dollar (NZD),19.7,5214.0,Oceania,98.8,268107.0,1945-10-24,413.0
Nicaragua,Managua,36.6,Cordoba Oro (NIO),57.5,6916.0,Central America,96.8,130374.0,1945-10-24,1055.5
Niger,Niamey,593.6,"CFA Franc, BCEAO (XOF)c",21.3,27032.0,Western Africa,103.1,1267000.0,1960-09-20,1251.5
Nigeria,Abuja,460.0,Naira (NGN),255.5,232680.0,Western Africa,102.3,923768.0,1960-10-07,3095.1
Niue,Alofi,1.6,New Zealand Dollar (NZD),7.0,2.0,Polynesia,93.0,260.0,,0.7
North Macedonia,Skopje,55.7,Denar (MKD),73.2,1823.0,Southern Europe,94.7,25713.0,1993-04-08,589.8
Northern Mariana Islands,Garapan,1.0,US Dollar (USD),96.9,44.0,Micronesia,111.9,457.0,,4.0
Norway,Oslo,10.2,Norwegian Krone (NOK),18.3,5577.0,Northern Europe,101.6,323772.0,1945-11-27,1026.8
Oman,Muscat,0.4,Rial Omani (OMR),17.1,5282.0,Western Asia,164.6,309980.0,1971-10-07,1501.6
Pakistan,Islamabad,281.9,Pakistan Rupee (PKR),326.0,251269.0,Southern Asia,102.9,796095.0,1947-09-30,1095.1
Palau,Melekeok,1.0,US Dollar (USD),38.5,18.0,Micronesia,116.7,459.0,1994-12-15,11.4
Panama,Panama City,1.0,Balboa (PAB),60.9,4516.0,Central America,100.0,75320.0,1945-11-13,1821.7
Papua New Guinea,Port Moresby,3.5,Kina (PGK),23.4,10576.0,Melanesia,105.9,462840.0,1975-10-10,374.5
Paraguay,Asunción,7273.6,Guarani (PYG),17.1,6929.0,South America,100.6,406752.0,1945-10-24,3279.2
Peru,Lima,3.7,Sol (PEN),26.7,34218.0,South America,98.9,1285216.0,1945-10-31,10554.7
Philippines,Manila,55.6,Philippine Piso (PHP),386.1,115844.0,South-eastern Asia,99.5,300000.0,1945-10-24,13698.9
Poland,Warsaw,3.9,Zloty (PLN),125.9,38539.0,Eastern Europe,94.0,312679.0,1945-10-24,1775.9
Portugal,Lisbon,0.9,Euro (EUR),113.3,10425.0,Southern Europe,91.0,92226.0,1955-12-14,2942.1
Puerto Rico,San Juan,1.0,US Dollar (USD),373.0,3242.0,Caribbean,89.0,8868.0,,2451.4
Qatar,Doha,3.6,Qatari Rial (QAR),263.1,3048.0,Western Asia,248.2,11627.0,1971-09-21,637.3
Republic of Korea,Seoul,1289.4,South Korean Won (KRW),522.7,51718.0,Eastern Asia,99.7,100401.0,1991-09-17,9962.4
Republic of Moldova,Chisinau,17.4,Moldovan Leu (MDL),92.3,3035.0,Eastern Europe,85.2,33847.0,1992-03-02,504.3
Romania,Bucharest,4.5,Romanian Leu (RON),82.6,19015.0,Eastern Europe,93.9,238391.0,1955-12-14,1812.3
Russian Federation,Moscow,89.7,Russian Ruble (RUB),8.8,144820.0,Eastern Europe,86.6,17098246.0,1945-10-24,12476.2
