Country,Year,"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Forested area (% of land area),Important sites for terrestrial biodiversity protected (%),Individuals using the Internet (per 100 inhabitants),Net Official Development Assist. disbursed (% of GNI),Net Official Development Assist. received (% of GNI),Research & Development expenditure (% of GDP),Threatened species (number),Tourist/visitor arrivals at national borders (000),CO2 emission estimates - Total (million tons),CO2 emission estimates - Per capita (tons per capita),CO2 emission estimates - Total/CO2 emission estimates - Per capita Ratio,Pop. using safely managed drinking water - Urban (%),Pop. using safely managed drinking water - Rural (%),Pop. using safely managed drinking water - Urban/Pop. using safely managed drinking water - Rural Ratio,Pop. using safely managed sanitation - Urban (%),Pop. using safely managed sanitation - Rural (%),Pop. using safely managed sanitation - Urban/Pop. using safely managed sanitation - Rural Ratio
Georgia,2015,55,52,40.6,40.3,47.6,,3.07,0.3,114,3012,9,2.4,375,87.7,39.9,219.7994987,18.8,44.5,42.24719101
Georgia,2020,44,55,40.6,40.3,72.5,,6.89,0.3,126,1087,9.6,2.5,384,87.9,40.3,218.1141439,14.5,40.7,35.62653563
Georgia,2024,51,59,40.6,42.4,78.7,,4.35,0.2,128,3653,10,2.7,370.3703704,88,40.5,217.2839506,14.1,39.2,35.96938776
Germany,2015,5016,158,32.7,77,87.6,0.6,,2.9,107,34970,721.4,8.8,8197.727273,99.9,99.7,100.2006018,98.3,91.2,107.7850877
Germany,2020,4036,140,32.7,79.2,89.8,1.14,,3.1,200,12449,580.8,7,8297.142857,100,99.7,100.3009027,98.5,91.4,107.7680525
Germany,2024,4244,144,32.7,79.2,92.5,1.32,,3.1,209,28463,600.2,7.2,8336.111111,100,99.6,100.4016064,98.5,91.4,107.7680525
Ghana,2015,424,13,34.6,78.8,23,,3.69,0.4,223,897,14.6,0.5,2920,52.1,11,473.6363636,11.6,11.9,97.4789916
Ghana,2020,704,15,35.1,78.8,62.5,,3.12,,255,355,18.8,0.6,3133.333333,61.6,16.5,373.3333333,13.4,16.4,81.70731707
Ghana,2024,642,15,35.1,78.8,69.8,,1.64,,292,915,19.8,0.6,3300,62.6,18.8,332.9787234,14,18.4,76.08695652
Gibraltar,2015,,274,0,0,65,,,,26,,0.6,18.2,3.296703297,100,,,,,
