Employment in agriculture (% of employed),Employment in services (% employed),Economy: Agriculture (% of Gross Value Added),"Fertility rate, total (live births per woman)",Education: Upper Sec. gross enrol. ratio - Male (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Female (per 100 pop.),Under five mortality rate (per 1000 live births),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Employment in industry (% of employed),gdp_class
60.3,32.4,29.4,4.1,32.7,25.8,92.0,39.6,2.3,7.2,0.0
18.8,58.5,27.0,2.7,89.6,96.4,33.0,46.8,0.6,22.7,1.0
12.1,64.4,17.8,2.5,64.9,75.6,28.3,41.2,1.1,23.6,2.0
11.9,62.7,10.3,2.4,66.4,74.8,22.2,19.8,0.6,25.4,2.0
28.7,49.5,12.6,2.7,53.6,73.7,20.5,60.8,1.9,21.8,1.0
4.9,64.8,4.5,1.4,107.7,110.3,5.1,64.2,0.3,30.3,2.0
4.8,63.3,4.0,1.6,105.9,105.1,4.0,67.1,0.4,31.9,2.0
4.4,64.3,3.8,1.5,101.2,101.6,3.6,67.3,0.3,31.4,2.0
4.2,77.9,5.9,1.8,133.6,136.4,3.3,71.7,1.0,17.8,3.0
4.0,78.0,5.2,1.7,122.2,116.7,3.4,72.5,1.3,17.9,3.0
4.1,77.9,4.5,1.5,131.6,124.1,1.6,71.7,1.4,18.0,3.0
44.3,30.7,17.7,2.3,66.2,62.9,43.5,52.3,1.2,25.0,0.0
44.7,31.6,20.3,2.0,71.8,66.5,32.6,52.5,0.9,23.7,0.0
42.9,31.0,18.4,2.0,73.0,71.4,28.2,53.3,0.9,26.1,1.0
33.0,44.9,13.9,2.3,79.3,76.2,27.5,44.7,1.1,22.0,1.0
29.6,48.9,14.2,2.2,92.7,96.2,22.8,46.1,0.8,21.5,1.0
29.3,48.8,13.0,2.1,95.2,99.1,19.9,43.7,0.8,21.9,1.0
17.1,50.0,10.4,2.0,90.1,84.6,15.5,56.6,1.4,32.8,1.0
16.7,49.7,13.9,1.7,80.1,79.4,13.1,55.8,0.6,33.6,1.0
5.3,76.6,1.0,1.9,133.7,141.5,4.0,57.8,1.0,18.1,3.0
4.5,76.7,1.0,1.7,161.1,187.8,3.2,59.4,0.8,18.8,3.0
4.0,76.8,1.2,1.6,164.1,192.5,3.2,55.3,1.0,19.2,3.0
1.0,81.4,1.6,3.1,95.1,96.0,3.8,76.3,2.0,17.6,3.0
0.9,83.3,1.4,2.9,95.4,96.7,2.8,78.7,1.6,15.8,3.0
0.8,83.5,1.3,2.8,96.8,98.2,3.7,79.0,1.4,15.7,3.0
3.8,69.6,2.3,1.3,99.5,99.0,3.4,74.5,0.2,26.6,3.0
4.0,69.6,2.2,1.2,100.9,99.9,2.9,73.9,0.4,26.4,3.0
3.8,69.3,2.2,1.2,102.5,101.4,2.6,72.2,0.3,26.9,3.0
17.7,67.3,7.2,1.5,77.6,81.5,18.7,70.7,0.3,14.9,1.0
15.9,68.3,9.8,1.4,77.1,79.0,19.2,67.3,0.4,15.8,1.0
15.3,67.5,9.4,1.4,80.7,81.4,18.9,67.5,0.0,17.2,1.0
3.5,71.4,1.0,1.4,102.5,103.0,2.7,70.2,0.1,25.1,3.0
3.1,72.8,1.0,1.3,103.4,103.5,2.3,69.8,0.4,24.0,3.0
3.1,73.3,1.0,1.2,103.0,103.7,2.3,70.0,0.5,23.6,3.0
3.4,75.4,4.9,3.1,57.0,66.8,17.5,67.0,7.2,21.1,1.0
3.3,79.1,5.1,2.8,53.8,60.5,15.1,68.7,1.9,17.6,1.0
3.2,78.6,5.2,2.6,62.0,65.0,13.3,67.7,0.4,18.2,1.0
18.0,61.4,5.0,2.8,97.9,105.5,12.4,62.5,1.5,20.6,2.0
13.5,65.4,5.7,3.1,97.6,97.2,10.1,59.3,1.4,21.2,2.0
2.2,72.9,0.5,2.0,82.5,98.6,9.4,50.9,4.7,24.9,3.0
30.4,47.3,15.4,3.2,79.0,82.4,22.2,57.1,1.8,22.4,0.0
25.1,51.2,14.7,3.0,81.1,80.9,18.2,53.8,2.5,23.7,0.0
24.6,50.9,13.7,2.8,85.0,83.4,14.6,59.0,1.5,24.6,0.0
63.9,26.7,19.7,2.8,46.8,42.4,53.3,49.4,1.6,9.4,0.0
66.4,25.6,18.4,2.5,51.3,46.2,43.5,44.4,1.5,8.1,1.0
69.6,23.3,22.3,2.4,45.3,41.5,37.2,46.4,1.3,7.2,0.0
7.9,68.4,4.0,1.7,122.9,121.4,4.9,74.3,0.9,23.6,2.0
7.2,69.1,4.6,1.5,109.9,111.8,4.3,72.9,0.7,23.6,2.0
6.8,69.5,5.7,1.3,108.1,110.8,3.4,69.9,0.8,23.7,3.0
30.8,35.4,4.2,3.2,37.9,49.8,81.2,57.9,1.2,33.8,0.0
30.2,35.4,6.0,2.8,35.0,49.3,76.3,58.8,1.2,34.4,0.0
42.1,49.0,69.5,4.5,33.6,24.4,92.3,20.0,2.2,8.9,0.0
40.2,51.6,75.6,4.2,31.7,30.4,77.2,16.4,2.1,8.2,0.0
9.1,65.9,3.8,1.7,119.6,114.0,5.3,66.5,1.1,25.1,2.0
5.7,68.9,3.9,1.5,117.8,112.6,3.2,68.3,0.1,25.4,2.0
5.5,68.8,4.4,1.2,121.9,115.6,3.8,67.3,0.5,25.7,3.0
1.0,86.4,0.2,1.5,94.4,100.4,5.1,87.1,2.3,12.5,3.0
0.8,88.9,0.2,1.4,98.2,104.2,6.5,87.4,1.4,10.4,3.0
1.1,89.8,0.3,1.4,95.8,104.6,3.7,88.3,1.1,9.1,3.0
74.6,16.1,27.0,4.3,22.9,21.7,66.4,53.2,2.6,9.2,0.0
71.7,18.8,26.7,4.2,21.9,22.0,66.0,52.7,2.5,9.5,0.0
70.1,20.1,23.5,3.9,22.2,22.9,64.4,50.4,2.4,9.9,0.0
65.0,27.5,26.5,4.4,25.3,20.3,57.0,55.1,2.7,7.5,0.0
62.9,29.2,26.5,3.9,21.0,18.4,43.7,53.3,2.6,7.9,0.0
62.1,29.8,29.4,3.6,21.8,19.8,38.2,52.5,2.6,8.1,0.0
12.5,60.0,8.4,2.0,77.0,87.7,8.1,52.7,1.7,27.5,2.0
10.5,61.7,8.3,1.7,68.6,77.2,8.0,55.4,1.1,27.8,2.0
10.0,61.9,9.0,1.5,73.9,81.9,6.2,51.4,1.2,28.1,2.0
8.0,67.0,8.3,1.6,27.4,37.5,6.8,77.9,2.8,24.9,2.0
62.3,29.5,39.8,6.4,33.8,23.5,115.8,40.9,3.1,8.3,0.0
68.1,22.6,38.4,5.8,25.5,20.6,100.1,38.2,3.1,9.3,0.0
1.5,78.5,1.0,1.4,86.2,94.8,6.8,79.7,2.4,20.0,3.0
1.1,80.6,0.8,1.1,100.5,107.2,4.6,84.3,1.4,18.3,3.0
0.8,82.0,1.0,1.1,103.0,105.7,5.5,85.4,1.2,17.2,3.0
11.0,79.6,12.6,3.1,66.3,77.3,35.3,76.0,2.1,9.4,1.0
33.4,49.2,23.0,5.2,24.2,19.2,48.8,51.7,3.0,17.5,0.0
