"Fertility rate, total (live births per woman)",Under five mortality rate (per 1000 live births),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Economy: Agriculture (% of Gross Value Added),gdp_class
2.0,15.5,56.6,1.4,10.4,1.0
1.7,13.1,55.8,0.6,13.9,1.0
1.7,10.9,53.1,1.0,14.1,1.0
4.1,29.8,50.9,2.6,4.2,1.0
3.4,25.7,54.4,2.3,6.0,1.0
3.2,22.4,34.7,2.1,2.8,1.0
1.9,4.0,57.8,1.0,1.0,3.0
1.7,3.2,59.4,0.8,1.0,3.0
1.6,3.2,55.3,1.0,1.2,3.0
3.1,3.8,76.3,2.0,1.6,3.0
2.9,2.8,78.7,1.6,1.4,3.0
2.8,3.7,79.0,1.4,1.3,3.0
1.3,3.4,74.5,0.2,2.3,3.0
1.2,2.9,73.9,0.4,2.2,3.0
1.2,2.6,72.2,0.3,2.2,3.0
1.5,18.7,70.7,0.3,7.2,1.0
1.4,19.2,67.3,0.4,9.8,1.0
1.4,18.9,67.5,0.0,9.4,1.0
1.4,2.7,70.2,0.1,1.0,3.0
1.3,2.3,69.8,0.4,1.0,3.0
1.2,2.3,70.0,0.5,1.0,3.0
3.1,17.5,67.0,7.2,4.9,1.0
2.8,15.1,68.7,1.9,5.1,1.0
2.6,13.3,67.7,0.4,5.2,1.0
2.8,12.4,62.5,1.5,5.0,2.0
3.1,10.1,59.3,1.4,5.7,2.0
3.0,7.9,56.7,1.2,5.6,2.0
3.8,47.1,59.4,2.2,20.6,0.0
3.4,48.3,57.4,2.0,24.1,0.0
3.2,40.1,58.6,1.9,22.5,0.0
3.4,58.8,62.1,1.3,22.2,0.0
3.3,57.9,65.1,2.0,25.4,0.0
3.1,53.9,65.5,1.5,24.5,0.0
2.0,9.4,50.9,4.7,0.5,3.0
2.1,8.7,60.1,2.9,0.4,3.0
1.5,7.6,53.3,2.0,0.4,3.0
3.2,22.2,57.1,1.8,15.4,0.0
3.0,18.2,53.8,2.5,14.7,0.0
2.8,14.6,59.0,1.5,13.7,0.0
2.8,53.3,49.4,1.6,19.7,0.0
2.5,43.5,44.4,1.5,18.4,1.0
2.4,37.2,46.4,1.3,22.3,0.0
1.7,4.9,74.3,0.9,4.0,2.0
1.5,4.3,72.9,0.7,4.6,2.0
1.3,3.4,69.9,0.8,5.7,3.0
2.4,13.1,79.5,2.2,3.5,2.0
2.3,20.3,75.4,0.2,8.3,2.0
2.2,18.1,81.9,0.7,4.5,2.0
3.2,81.2,57.9,1.2,4.2,0.0
2.8,76.3,58.8,1.2,6.0,0.0
2.7,69.2,58.2,1.1,7.1,0.0
4.5,92.3,20.0,2.2,69.5,0.0
4.2,77.2,16.4,2.1,75.6,0.0
3.9,70.1,17.5,2.1,74.0,0.0
2.7,14.6,64.9,1.5,3.9,2.0
2.5,11.9,54.0,1.3,3.6,2.0
2.3,14.8,52.5,1.0,3.7,1.0
1.4,7.2,56.8,0.7,0.1,3.0
1.5,6.7,58.1,0.8,0.2,3.0
1.5,6.4,56.6,0.7,0.2,3.0
1.7,5.3,66.5,1.1,3.8,2.0
1.5,3.2,68.3,0.1,3.9,2.0
1.2,3.8,67.3,0.5,4.4,3.0
1.5,5.1,87.1,2.3,0.2,3.0
1.4,6.5,87.4,1.4,0.2,3.0
1.4,3.7,88.3,1.1,0.3,3.0
4.3,66.4,53.2,2.6,27.0,0.0
4.2,66.0,52.7,2.5,26.7,0.0
3.9,64.4,50.4,2.4,23.5,0.0
4.4,57.0,55.1,2.7,26.5,0.0
3.9,43.7,53.3,2.6,26.5,0.0
3.6,38.2,52.5,2.6,29.4,0.0
2.0,8.1,52.7,1.7,8.4,2.0
1.7,8.0,55.4,1.1,8.3,2.0
1.5,6.2,51.4,1.2,9.0,2.0
2.0,9.7,81.7,3.6,6.2,2.0
1.6,6.8,77.9,2.8,8.3,2.0
1.6,5.4,82.8,0.4,5.6,2.0
6.4,115.8,40.9,3.1,39.8,0.0
5.8,100.1,38.2,3.1,38.4,0.0
5.5,92.2,39.4,2.9,38.6,0.0
1.4,6.8,79.7,2.4,1.0,3.0
1.1,4.6,84.3,1.4,0.8,3.0
1.1,5.5,85.4,1.2,1.0,3.0
3.1,35.3,76.0,2.1,12.6,1.0
3.0,30.6,67.0,3.1,19.8,1.0
2.9,27.2,68.5,3.4,19.0,2.0
5.2,48.8,51.7,3.0,23.0,0.0
4.9,41.8,43.9,2.9,21.2,0.0
4.6,36.6,46.1,2.8,20.3,1.0
1.3,14.2,74.6,0.0,3.5,2.0
1.4,15.8,77.5,0.2,3.6,2.0
1.2,13.4,75.1,0.2,3.9,2.0
2.1,16.2,64.0,1.0,3.3,2.0
2.0,13.8,63.0,0.7,4.0,2.0
1.9,12.5,60.8,0.8,4.1,2.0
3.0,30.0,65.7,0.3,27.8,1.0
2.9,25.2,71.3,0.9,23.5,1.0
2.7,22.3,71.0,0.5,23.9,1.0
3.0,19.4,50.3,2.2,15.3,1.0
2.9,15.0,44.7,1.6,14.3,1.0
2.6,11.3,45.9,1.2,14.6,1.0
1.8,3.9,72.9,0.6,9.7,1.0
1.8,4.2,70.0,0.6,9.1,2.0
1.8,3.4,76.4,0.3,7.5,2.0
1.5,8.4,86.3,0.7,1.4,2.0
2.0,7.1,84.6,0.8,0.9,2.0
1.4,6.2,84.2,0.7,0.7,2.0
2.4,23.3,58.2,1.1,13.2,1.0
2.3,18.6,59.2,1.0,11.9,1.0
2.2,16.3,60.3,0.9,11.4,1.0
5.2,83.9,52.5,2.9,26.5,0.0
5.0,70.5,45.4,3.0,30.2,0.0
4.7,63.0,45.0,2.9,29.7,0.0
