Employment in agriculture (% of employed),Employment in services (% employed),Economy: Agriculture (% of Gross Value Added),"Fertility rate, total (live births per woman)",Education: Upper Sec. gross enrol. ratio - Male (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Female (per 100 pop.),Health: Physicians (per 1 000 pop.),Under five mortality rate (per 1000 live births),Urban population (% of total population),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Employment in industry (% of employed),gdp_class
35.2,46.1,21.8,4.0,52.4,46.1,0.1,55.5,54.1,44.2,2.3,18.7,0.0
40.5,40.9,20.1,3.5,65.6,62.1,0.2,45.5,56.7,48.1,2.0,18.6,0.0
12.5,72.4,4.4,1.3,109.1,102.4,5.9,4.2,78.0,79.2,0.7,15.0,2.0
10.3,74.7,4.7,1.4,106.7,104.8,6.3,3.8,79.4,78.6,0.3,15.0,2.0
30.5,49.2,10.5,2.5,35.4,37.5,1.3,23.7,51.4,65.8,1.5,20.3,1.0
63.5,30.4,20.1,5.0,34.9,21.9,0.1,112.3,35.1,51.3,2.6,6.1,0.0
61.2,31.8,28.2,4.5,35.2,26.1,0.2,100.3,36.5,41.3,2.5,7.0,0.0
18.8,58.5,27.0,2.7,89.6,96.4,0.7,33.0,26.4,46.8,0.6,22.7,1.0
12.1,64.4,17.8,2.5,64.9,75.6,1.4,28.3,26.7,41.2,1.1,23.6,2.0
28.7,49.5,12.6,2.7,53.6,73.7,0.3,20.5,55.2,60.8,1.9,21.8,1.0
4.9,64.8,4.5,1.4,107.7,110.3,3.1,5.1,70.5,64.2,0.3,30.3,2.0
4.8,63.3,4.0,1.6,105.9,105.1,3.1,4.0,71.6,67.1,0.4,31.9,2.0
4.2,77.9,5.9,1.8,133.6,136.4,3.8,3.3,93.7,71.7,1.0,17.8,3.0
4.0,78.0,5.2,1.7,122.2,116.7,4.3,3.4,93.9,72.5,1.3,17.9,3.0
44.7,31.6,20.3,2.0,71.8,66.5,0.7,32.6,34.5,52.5,0.9,23.7,0.0
33.0,44.9,13.9,2.3,79.3,76.2,0.3,27.5,53.3,44.7,1.1,22.0,1.0
29.6,48.9,14.2,2.2,92.7,96.2,0.6,22.8,56.0,46.1,0.8,21.5,1.0
17.1,50.0,10.4,2.0,90.1,84.6,1.1,15.5,73.4,56.6,1.4,32.8,1.0
16.7,49.7,13.9,1.7,80.1,79.4,1.5,13.1,75.4,55.8,0.6,33.6,1.0
5.3,76.6,1.0,1.9,133.7,141.5,3.1,4.0,62.5,57.8,1.0,18.1,3.0
4.5,76.7,1.0,1.7,161.1,187.8,3.5,3.2,63.4,59.4,0.8,18.8,3.0
1.0,81.4,1.6,3.1,95.1,96.0,3.5,3.8,92.2,76.3,2.0,17.6,3.0
0.9,83.3,1.4,2.9,95.4,96.7,3.6,2.8,92.5,78.7,1.6,15.8,3.0
3.8,69.6,2.3,1.3,99.5,99.0,3.9,3.4,69.6,74.5,0.2,26.6,3.0
4.0,69.6,2.2,1.2,100.9,99.9,4.0,2.9,70.7,73.9,0.4,26.4,3.0
17.7,67.3,7.2,1.5,77.6,81.5,0.4,18.7,54.8,70.7,0.3,14.9,1.0
15.9,68.3,9.8,1.4,77.1,79.0,0.5,19.2,56.0,67.3,0.4,15.8,1.0
3.5,71.4,1.0,1.4,102.5,103.0,2.4,2.7,91.4,70.2,0.1,25.1,3.0
3.1,72.8,1.0,1.3,103.4,103.5,2.6,2.3,91.7,69.8,0.4,24.0,3.0
3.4,75.4,4.9,3.1,57.0,66.8,2.7,17.5,90.3,67.0,7.2,21.1,1.0
3.3,79.1,5.1,2.8,53.8,60.5,2.5,15.1,91.2,68.7,1.9,17.6,1.0
18.0,61.4,5.0,2.8,97.9,105.5,3.9,12.4,57.2,62.5,1.5,20.6,2.0
13.5,65.4,5.7,3.1,97.6,97.2,4.0,10.1,57.5,59.3,1.4,21.2,2.0
2.2,72.9,0.5,2.0,82.5,98.6,2.6,9.4,100.0,50.9,4.7,24.9,3.0
30.4,47.3,15.4,3.2,79.0,82.4,2.2,22.2,35.8,57.1,1.8,22.4,0.0
25.1,51.2,14.7,3.0,81.1,80.9,2.2,18.2,36.6,53.8,2.5,23.7,0.0
63.9,26.7,19.7,2.8,46.8,42.4,0.4,53.3,33.1,49.4,1.6,9.4,0.0
66.4,25.6,18.4,2.5,51.3,46.2,0.4,43.5,35.6,44.4,1.5,8.1,1.0
7.9,68.4,4.0,1.7,122.9,121.4,3.2,4.9,68.0,74.3,0.9,23.6,2.0
7.2,69.1,4.6,1.5,109.9,111.8,3.3,4.3,68.2,72.9,0.7,23.6,2.0
30.8,35.4,4.2,3.2,37.9,49.8,0.1,81.2,26.9,57.9,1.2,33.8,0.0
30.2,35.4,6.0,2.8,35.0,49.3,0.5,76.3,28.6,58.8,1.2,34.4,0.0
42.1,49.0,69.5,4.5,33.6,24.4,0.0,92.3,49.8,20.0,2.2,8.9,0.0
40.2,51.6,75.6,4.2,31.7,30.4,0.2,77.2,51.6,16.4,2.1,8.2,0.0
9.1,65.9,3.8,1.7,119.6,114.0,4.3,5.3,67.2,66.5,1.1,25.1,2.0
5.7,68.9,3.9,1.5,117.8,112.6,4.4,3.2,67.9,68.3,0.1,25.4,2.0
1.0,86.4,0.2,1.5,94.4,100.4,2.9,5.1,90.2,87.1,2.3,12.5,3.0
0.8,88.9,0.2,1.4,98.2,104.2,3.0,6.5,91.2,87.4,1.4,10.4,3.0
74.6,16.1,27.0,4.3,22.9,21.7,0.2,66.4,35.2,53.2,2.6,9.2,0.0
65.0,27.5,26.5,4.4,25.3,20.3,0.0,57.0,16.3,55.1,2.7,7.5,0.0
62.9,29.2,26.5,3.9,21.0,18.4,0.0,43.7,17.2,53.3,2.6,7.9,0.0
12.5,60.0,8.4,2.0,77.0,87.7,1.5,8.1,74.2,52.7,1.7,27.5,2.0
10.5,61.7,8.3,1.7,68.6,77.2,2.2,8.0,76.6,55.4,1.1,27.8,2.0
8.0,67.0,8.3,1.6,27.4,37.5,2.2,6.8,40.2,77.9,2.8,24.9,2.0
62.3,29.5,39.8,6.4,33.8,23.5,0.1,115.8,40.0,40.9,3.1,8.3,0.0
68.1,22.6,38.4,5.8,25.5,20.6,0.1,100.1,43.1,38.2,3.1,9.3,0.0
1.5,78.5,1.0,1.4,86.2,94.8,3.6,6.8,94.4,79.7,2.4,20.0,3.0
1.1,80.6,0.8,1.1,100.5,107.2,4.2,4.6,94.7,84.3,1.4,18.3,3.0
11.0,79.6,12.6,3.1,66.3,77.3,0.5,35.3,75.8,76.0,2.1,9.4,1.0
33.4,49.2,23.0,5.2,24.2,19.2,0.2,48.8,51.1,51.7,3.0,17.5,0.0
34.0,51.6,21.2,4.9,30.5,30.4,0.2,41.8,54.5,43.9,2.9,14.4,0.0
7.5,67.1,3.5,1.3,78.4,88.3,2.0,14.2,41.0,74.6,0.0,25.3,2.0
5.3,71.3,3.6,1.4,75.0,83.1,2.7,15.8,40.8,77.5,0.2,23.4,2.0
14.0,62.0,3.3,2.1,71.4,73.4,2.4,16.2,79.3,64.0,1.0,24.0,2.0
